City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Batemans Bay,-35.7167,150.1833,20.61,84,92,1.29,AU,1675722472
81,Guerrero Negro,27.9769,-114.0611,17.72,51,98,8.41,MX,1675722472
82,Carnarvon,-24.8667,113.6333,24.03,70,0,8.79,AU,1675722473
83,Mataura,-46.1927,168.8643,19.48,52,62,4.68,NZ,1675722473
84,Jablah,35.3614,35.9256,11.16,66,75,13.26,SY,1675722473
85,Verkhnechusovskiye Gorodki,58.1671,57.1086,-25.19,100,100,0.9,RU,1675722474
86,Vila Velha,-20.3297,-40.2925,26.64,81,0,3.09,BR,1675722474
87,Vanavara,60.34,102.2797,-28.09,100,100,1.32,RU,1675722474
88,Casper,42.8666,-106.3131,2.12,77,100,4.63,US,1675722201
89,Erzin,36.9559,36.2,6.54,92,100,0.96,TR,1675722475
90,Clyde River,70.4692,-68.5914,-32.87,68,20,3.6,CA,1675722475
91,Lata,40.1629,-8.3327,10.6,67,0,2.23,PT,1675722476
92,Bekhtery,46.251,32.2927,-1.99,81,95,8.37,UA,1675722476
93,Zomba,-15.386,35.3188,18.34,96,100,0.86,MW,1675722476
94,Geraldton,-28.7667,114.6,16.23,88,40,3.6,AU,1675722477
95,Codrington,-38.2667,141.9667,17.09,70,55,4.43,AU,1675722477
96,Lakshettipet,18.8667,79.2167,20.36,27,80,0.29,IN,1675722477
97,Calabozo,8.9242,-67.4293,31.36,36,100,3.35,VE,1675722478
98,Alpena,45.0617,-83.4327,-2.72,80,0,6.17,US,1675722478
99,Avarua,-21.2078,-159.775,29.03,84,75,4.63,CK,1675722479
100,Kruisfontein,-34.0033,24.7314,21.44,89,88,0.57,ZA,1675722479
101,Hurghada,27.2574,33.8129,13.02,26,29,6.17,EG,1675722290
102,Saskylakh,71.9167,114.0833,-33.46,100,98,1.32,RU,1675722237
103,Iqaluit,63.7506,-68.5145,-32.15,68,40,5.14,CA,1675722479
104,Surgut,61.25,73.4167,-18.9,84,40,2.0,RU,1675722332
105,Pechenga,69.5259,31.1703,0.82,91,100,11.7,RU,1675722480
106,Lüderitz,-26.6481,15.1594,18.08,92,8,6.1,NA,1675722480
107,North Myrtle Beach,33.816,-78.68,17.05,50,0,2.06,US,1675722480
108,Tiksi,71.6872,128.8694,-35.62,100,89,2.18,RU,1675722257
109,Antalaha,-14.9003,50.2788,23.12,92,100,1.89,MG,1675722481
110,Ribeira Grande,38.5167,-28.7,14.32,75,84,9.83,PT,1675722481
111,Alto Paraguai,-14.5136,-56.4825,23.87,89,100,1.33,BR,1675722482
112,Vao,-22.6667,167.4833,25.75,70,37,6.99,NC,1675722482
113,Pisco,-13.7,-76.2167,26.03,78,0,8.23,PE,1675722482
114,Dhidhdhoo,6.8833,73.1,26.74,77,99,4.72,MV,1675722482
115,Port Hawkesbury,45.6169,-61.3485,1.77,96,100,5.81,CA,1675722483
116,College,64.8569,-147.8028,-13.28,81,75,0.0,US,1675722384
117,Padang,-0.9492,100.3543,25.19,80,99,1.57,ID,1675722433
118,Punta Arenas,-53.15,-70.9167,15.06,67,75,7.2,CL,1675722483
119,Taoudenni,22.6783,-3.9836,20.0,19,100,3.1,ML,1675722484
120,Campbell River,50.0163,-125.2446,9.59,93,100,7.72,CA,1675722484
121,Mednogorsk,51.4128,57.595,-20.34,100,83,1.22,RU,1675722484
122,Cherskiy,68.75,161.3,-38.74,100,100,2.45,RU,1675722485
123,Ancud,-41.8697,-73.8203,16.7,67,0,1.62,CL,1675722485
124,Mar del Plata,-38.0023,-57.5575,20.53,71,32,5.36,AR,1675721686
125,Port Alfred,-33.5906,26.891,21.77,95,100,1.79,ZA,1675722276
126,St. George's,12.0564,-61.7485,25.82,78,40,7.72,GD,1675722485
127,Cidreira,-30.1811,-50.2056,24.47,71,9,3.9,BR,1675722486
128,Ambunti,-4.2365,142.8448,23.89,95,100,0.78,PG,1675722486
